@relation image-weka.filters.unsupervised.instance.Randomize-S42

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute class {class1,class2}

@data
1.3993,-0.25081,-0.35697,-0.19451,-0.26947,-0.10538,-0.56393,-0.13355,-0.39814,-0.41034,-0.35403,-0.43482,0.21312,-0.032244,-0.15907,-0.38115,-0.26171,-0.46583,class2
1.3719,1.0017,-0.35697,-0.19451,-0.26947,-0.10807,-0.16382,-0.11757,0.47888,0.46176,0.56493,0.38709,-0.54466,0.96693,-1.0921,0.55078,-0.55577,-0.44669,class1
1.1526,-0.99884,-0.35697,-0.19451,-0.31064,-0.11698,-0.36387,-0.12984,1.4772,1.3212,1.6804,1.3679,-2.6166,2.5679,-1.7269,1.682,-0.44318,-0.55777,class1
0.042301,-1.886,-0.35697,-0.19451,-0.41356,-0.12124,-0.51776,-0.12962,2.4153,2.4406,2.2931,2.5106,-1.7341,1.1656,-0.23602,2.3033,-1.0894,-0.65975,class1
-1.4654,0.32327,-0.35697,-0.19451,-0.41356,-0.11277,-0.59471,-0.13759,-0.95598,-0.9336,-0.98454,-0.93286,0.98049,-0.97464,0.66813,-1.0206,-0.044791,-0.51553,class1
-0.65675,1.3149,-0.35697,-0.19451,0.28631,-0.085791,0.62102,-0.088722,0.52253,0.50616,0.61598,0.42071,-0.57344,1.0521,-1.2075,0.60255,-0.54048,-0.43872,class1
0.46721,-1.4511,-0.35697,-0.19451,-0.37239,-0.11347,-0.51776,-0.13724,2.3076,2.3233,2.2395,2.3487,-1.7341,1.4381,-0.69772,2.249,-1.0215,-0.60311,class1
-1.5751,-0.19862,-0.35697,-0.19451,-0.57824,-0.11791,-0.53315,-0.13707,-0.95889,-0.93677,-0.98709,-0.93592,0.98049,-0.97464,0.66813,-1.0231,1.0502,-0.51058,class1
-1.2873,-0.47696,-0.35697,-0.19451,0.1628,-0.047034,0.097797,-0.03538,-0.87158,-0.90823,-0.83138,-0.87481,0.37618,-0.44667,0.37957,-0.86524,2.1127,-0.58584,class1
-0.5745,-1.225,-0.35697,-0.19451,-0.4959,-0.11715,-0.4716,-0.13183,2.263,2.2694,2.1603,2.3548,-1.782,1.1713,-0.19755,2.1687,-1.0498,-0.66676,class1
